"No.","Time","Source","Destination","Protocol","Length","Info"
"238","10.970255","10.5.1.26","40.126.53.9","TCP","54","43175  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"239","10.973331","10.5.1.26","40.126.53.9","TLSv1.2","233","Client Hello (SNI=login.live.com)"
"240","11.055050","10.5.0.172","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"241","11.055050","10.5.0.172","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"242","11.055050","10.5.0.209","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"243","11.055050","10.5.0.209","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"244","11.079664","40.126.53.9","10.5.1.26","TCP","1506","443  >  43175 [ACK] Seq=1 Ack=180 Win=4194560 Len=1452 [TCP PDU reassembled in 246]"
"245","11.079664","40.126.53.9","10.5.1.26","TCP","1506","443  >  43175 [ACK] Seq=1453 Ack=180 Win=4194560 Len=1452 [TCP PDU reassembled in 246]"
"246","11.079664","40.126.53.9","10.5.1.26","TLSv1.2","1106","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"247","11.098872","10.5.1.26","40.126.53.9","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"248","11.125498","199.165.136.100","10.5.1.26","TCP","54","443  >  49806 [ACK] Seq=292 Ack=1285 Win=123 Len=0"
"250","11.165114","10.5.1.237","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"252","11.166311","199.165.136.100","10.5.1.26","TLSv1.2","151","Application Data"
"254","11.182499","10.5.1.26","195.175.179.186","QUIC","1292","Initial, DCID=54726cc6de204c9c, PKN: 1, PADDING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, PING, PADDING, PING, CRYPTO"
"255","11.182676","10.5.1.26","195.175.179.186","QUIC","1292","Initial, DCID=54726cc6de204c9c, PKN: 2, PING, CRYPTO, CRYPTO, PING, CRYPTO, PING, PING, PADDING, PING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PING"
"256","11.202840","195.175.179.186","10.5.1.26","QUIC","82","Initial, SCID=017eeeda0bc1412a, PKN: 1, ACK"
"257","11.202840","195.175.179.186","10.5.1.26","QUIC","1292","Initial, SCID=017eeeda0bc1412a, PKN: 2, ACK, PADDING"
"258","11.203305","195.175.179.186","10.5.1.26","QUIC","1292","Initial, SCID=017eeeda0bc1412a, PKN: 3, CRYPTO, PADDING"
"259","11.204167","195.175.179.186","10.5.1.26","QUIC","1292","Handshake, SCID=017eeeda0bc1412a"
"260","11.204167","195.175.179.186","10.5.1.26","QUIC","1292","Handshake, SCID=017eeeda0bc1412a"
"261","11.204167","195.175.179.186","10.5.1.26","QUIC","1292","Handshake, SCID=017eeeda0bc1412a"
"262","11.204167","195.175.179.186","10.5.1.26","QUIC","654","Handshake, SCID=017eeeda0bc1412a"
"263","11.204607","10.5.1.26","195.175.179.186","QUIC","1292","Handshake, DCID=017eeeda0bc1412a"
